Well Name,Depth,GR,AC,DEN,K
JY2,2483.625,173.324,82.52,2.721,3.762
JY2,2483.75,168.972,82.143,2.726,3.757
JY2,2483.875,169.225,82.124,2.721,3.821
JY2,2484,173.045,82.797,2.708,3.934
JY2,2484.125,176.978,83.837,2.695,4.021
JY2,2484.25,178.303,84.353,2.688,4.036
JY2,2484.375,176.093,84.251,2.686,3.977
JY2,2484.5,172.307,83.974,2.685,3.881
JY2,2484.625,168.882,83.431,2.679,3.808
JY2,2484.75,166.801,82.668,2.67,3.801
JY2,2484.875,165.549,82.212,2.665,3.835
JY2,2485,165.032,82.386,2.664,3.889
JY2,2485.125,165.661,83.01,2.669,3.956
JY2,2485.25,167.524,83.743,2.674,4.025
JY2,2485.375,169.957,84.468,2.678,4.082
JY2,2485.5,171.904,84.984,2.68,4.115
JY2,2485.625,172.688,84.98,2.683,4.13
JY2,2485.75,172.086,84.458,2.687,4.129
