Well Name,Depth,GR,AC,LLS,LLD,Facies
JY4,2504.375,92.393,58.908,321.824,295.484,1
JY4,2504.5,105.663,59.251,248.301,221.454,1
JY4,2504.625,115.836,60.643,155.119,135.275,1
JY4,2504.75,117.865,62.85,87.089,76.179,1
JY4,2504.875,112.248,64.602,58.343,52.923,1
JY4,2505,105.744,65.186,54.015,50.235,1
JY4,2505.125,105.643,64.68,59.051,54.673,1
JY4,2505.25,113.558,63.257,64.95,58.915,1
JY4,2505.375,125.067,61.74,66.185,58.592,1
JY4,2505.5,135.777,61.076,60.932,52.823,1
JY4,2505.625,145.023,61.433,51.836,44.31,1
JY4,2505.75,153.34,62.787,42.305,35.952,1
JY4,2505.875,159.739,65.103,34.174,29.144,1
JY4,2506,163.557,67.793,27.929,24.118,2
JY4,2506.125,165.977,70.326,23.481,20.664,2
JY4,2506.25,168.429,72.829,20.638,18.559,2
JY4,2506.375,170.631,75.162,19.073,17.518,2
JY4,2506.5,171.325,76.468,18.516,17.298,2
JY4,2506.625,169.716,76.518,18.627,17.592,2
JY4,2506.75,166.39,76.041,19.022,18.081,2
JY4,2506.875,162.655,75.578,19.504,18.621,2
JY4,2507,159.889,75.158,20.021,19.18,2
JY4,2507.125,158.425,74.747,20.541,19.727,2
JY4,2507.25,158.277,74.39,21.002,20.203,2
JY4,2507.375,160.142,74.121,21.345,20.563,2
JY4,2507.5,164.126,73.871,21.556,20.803,2
JY4,2507.625,168.556,73.717,21.637,20.928,2
JY4,2507.75,171.675,73.892,21.611,20.965,2
JY4,2507.875,172.453,74.112,21.53,20.994,2
JY4,2508,169.778,73.8,21.604,21.265,2
JY4,2508.125,162.059,73.235,22.225,22.177,2
JY4,2508.25,147.563,73.126,24.07,24.405,1
JY4,2508.375,128.036,73.467,28.556,29.349,1
JY4,2508.5,110.287,73.875,37.026,38.128,1
JY4,2508.625,103.935,73.899,48.601,49.353,1
JY4,2508.75,114.506,73.035,57.837,57.426,1
JY4,2508.875,136.396,72.035,59.346,57.584,1
JY4,2509,154.109,72.474,52.515,50.225,1
JY4,2509.125,153.896,74.801,43.372,41.702,1
JY4,2509.25,133.796,78.212,38.756,38.529,1
JY4,2509.375,104.397,81.204,48.252,50.983,1
JY4,2509.5,79.889,82.249,98.644,108.661,1
JY4,2509.625,66.87,81.612,237.895,260.637,1
JY4,2509.75,62.517,80.846,486.186,521.508,1
JY4,2509.875,60.98,81.203,771.286,812.15,1
JY4,2510,59.688,83.165,978.713,1016.978,1
JY4,2510.125,58.944,86.321,1045.965,1078.929,1
JY4,2510.25,58.983,89.287,1006.587,1035.701,1
JY4,2510.375,59.124,90.51,922.814,948.612,1
JY4,2510.5,58.763,89.46,831.363,852.938,1
JY4,2510.625,58.16,87.115,744.205,761.016,1
JY4,2510.75,57.959,84.508,666.435,678.935,1
JY4,2510.875,58.393,82.043,602.044,611.15,1
JY4,2511,59.358,80.584,554.175,560.683,1
JY4,2511.125,60.521,80.808,526.48,530.658,1
JY4,2511.25,61.626,82.051,520.505,521.857,1
JY4,2511.375,62.113,83.149,539.945,537.027,1
JY4,2511.5,61.325,83.785,593.316,582.969,1
JY4,2511.625,60.16,84.429,684.413,659.293,1
JY4,2511.75,61.767,84.883,781.46,729.545,1
JY4,2511.875,70.91,83.898,792.695,711.839,1
JY4,2512,90.178,80.695,657.642,565.628,1
JY4,2512.125,117.46,76.302,418.106,343.96,1
JY4,2512.25,145.054,72.436,198.085,156.147,1
JY4,2512.375,165.559,70.02,74.468,57.613,1
JY4,2512.5,175.397,69.656,32.596,26.219,1
JY4,2512.625,177.605,71.559,22.46,18.899,2
JY4,2512.75,176.844,74.182,19.287,16.643,2
JY4,2512.875,175.904,75.642,18.466,16.144,2
JY4,2513,175.183,75.872,18.498,16.268,2
