Well Name,Depth,Facies,GR,AC,DEN,CNL
JY56-z1,2870.25,4,193.824,256.697,2.691,17.834
JY56-z1,2870.375,4,194.304,256.262,2.695,17.845
JY56-z1,2870.625,4,195.741,259.285,2.695,17.786
JY56-z1,2870.875,4,199.771,265.331,2.681,17.16
JY56-z1,2871,4,204.394,268.315,2.682,16.989
JY56-z1,2871.25,4,211.455,271.449,2.673,17.146
JY56-z1,2871.5,4,226.782,268.876,2.647,17.3
JY56-z1,2871.625,4,230.538,264.967,2.633,17.252
JY56-z1,2871.75,4,224.608,260.144,2.634,16.958
JY56-z1,2874.125,4,187.071,242.143,2.665,14.255
JY56-z1,2874.25,4,186.125,243.295,2.663,14.587
JY56-z1,2874.375,4,185.95,244.358,2.663,14.769
JY56-z1,2874.5,4,185.556,244.924,2.663,14.742
JY56-z1,2874.625,4,185.417,245.329,2.663,14.632
JY56-z1,2874.75,4,186.492,245.699,2.663,14.571
JY56-z1,2876.5,5,180.435,234.906,2.68,13.971
JY56-z1,2876.625,5,173.312,234.057,2.687,14.009
JY56-z1,2876.75,5,164.72,233.544,2.686,14.231
JY56-z1,2884.75,4,191.306,268.203,2.619,15.597
JY56-z1,2884.875,4,191.494,267.972,2.616,15.691
JY56-z1,2886.75,4,190.201,272.27,2.623,16.442
JY56-z1,2886.875,4,191.312,272.557,2.622,16.263
JY56-z1,2887,4,190.751,271.908,2.622,15.844
JY56-z1,2897.375,5,201.478,247.118,2.621,12.306
JY56-z1,2897.5,5,202.957,245.983,2.625,12.286
JY56-z1,2897.625,5,203.683,245.696,2.63,12.403
JY56-z1,2898.375,4,214.601,246.731,2.623,12.928
JY56-z1,2898.5,4,213.344,247.116,2.627,12.765
JY56-z1,2898.625,4,209.516,248.093,2.627,12.485
JY56-z1,2899.125,5,209.189,250.04,2.623,11.717
JY56-z1,2899.25,5,209.761,249.581,2.616,11.476
JY56-z1,2899.375,5,213.236,249.166,2.607,11.63
JY51-2,3052.75,4,159.607,89.594,237.711,2.633
JY51-2,3052.875,4,161.003,90.077,240.227,2.635
JY51-2,3053,4,162.138,90.503,242.53,2.639
JY51-2,3053.75,4,192.832,93.346,253.755,2.668
JY51-2,3053.875,4,195.509,93.915,254.021,2.671
JY51-2,3054,4,196.842,94.448,254.741,2.672
JY51-2,3054.75,4,199.708,96.034,257.956,2.679
JY51-2,3054.875,4,198.12,96.168,256.577,2.678
JY51-2,3055,4,197.041,96.353,254.771,2.676
JY51-2,3055.75,4,198.012,96.834,247.534,2.681
JY51-2,3055.875,4,198.917,96.652,248.479,2.684
JY51-2,3056,4,200.281,96.473,249.495,2.683
JY51-2,3056.75,4,188.383,95.618,248.786,2.675
JY51-2,3056.875,4,187.104,95.502,248.304,2.68
JY51-2,3057,4,186.594,95.338,247.955,2.686
JY51-2,3057.75,4,188.286,93.883,248.046,2.695
JY51-2,3057.875,4,188.588,93.79,248.527,2.692
JY51-2,3058,4,188.402,93.722,248.81,2.687
JY51-2,3058.75,4,194.526,93.223,250.505,2.67
JY51-2,3058.875,4,198.933,93.494,251.752,2.669
JY51-2,3059,4,199.656,93.937,252.394,2.668
JY51-2,3059.75,4,196.919,95.239,250.387,2.687
JY51-2,3059.875,4,196.461,95.096,250.166,2.683
JY51-2,3060,4,197.179,94.976,249.718,2.672
JY51-2,3060.75,4,194.546,94.353,243.558,2.663
JY51-2,3060.875,4,194.005,94.265,243.729,2.66
JY51-2,3061,4,192.133,94.219,243.276,2.661
JY51-2,3061.75,4,190.989,94.297,244.255,2.667
JY51-2,3061.875,4,192.788,94.321,245.265,2.66
JY51-2,3062,4,193.159,94.302,245.833,2.658
JY51-2,3062.75,4,196.484,94.451,248.944,2.69
JY51-2,3062.875,4,197.961,94.478,250.999,2.695
JY51-2,3063,4,197.691,94.451,252.028,2.693
JY51-2,3063.75,4,204.037,94.499,252.987,2.653
JY51-2,3063.875,4,205.067,94.53,253.797,2.656
JY51-2,3064,4,206.055,94.537,254.836,2.656
JY51-2,3064.75,4,209.6,94.474,255.792,2.627
JY51-2,3064.875,4,209.411,94.422,255.453,2.624
JY51-2,3065,4,211.269,94.392,255.821,2.621
JY51-2,3065.75,4,228.722,94.749,258.981,2.65
JY51-2,3065.875,4,230.068,94.801,258.235,2.648
JY51-2,3066,4,226.645,94.803,257.17,2.638
JY51-2,3066.75,4,213.593,93.531,251.274,2.623
JY51-2,3066.875,4,216.469,93.407,251.967,2.626
JY51-2,3067,4,219.479,93.413,252.617,2.632
JY51-2,3067.75,4,222.793,94.041,248.274,2.641
JY51-2,3067.875,4,222.377,94.182,248.446,2.658
JY51-2,3068,4,220.049,94.443,248.762,2.683
JY51-2,3068.75,4,175.776,97.033,224.993,2.764
JY51-2,3068.875,4,163.135,97.229,221.863,2.765
JY51-2,3069,4,165.213,97.349,224.016,2.75
JY51-2,3069.625,4,217.704,98.292,258.5,2.643
JY51-2,3069.75,4,211.116,98.532,259.819,2.647
JY51-2,3069.875,4,209.662,98.742,261.527,2.656
JY51-2,3070.75,4,218.409,99.046,266.085,2.658
JY51-2,3070.875,4,215.081,99.143,266.848,2.66
JY51-2,3071,4,211.919,99.337,268.001,2.662
JY51-2,3071.75,4,210.497,101.04,269.579,2.67
