 Facies,Well Name,Depth,GR,AC,DEN,CNL,LLS,LLD,K
3,JY41-5,2535.03,174.544,252.181,2.721,21.156,27.992,26.259,5.521
3,JY41-5,2535.94,181.282,254.563,2.699,21.085,33.002,31.154,5.462
3,JY41-5,2536.95,193.229,258.335,2.695,21.826,27.467,25.742,4.971
3,JY41-5,2538,187.172,253.741,2.717,20.075,25.34,23.34,5.167
3,JY41-5,2538.95,189.167,259.999,2.706,19.994,15.535,14.715,5.045
3,JY41-5,2540.09,185.876,258.724,2.702,20.362,24.283,22.799,4.928
3,JY41-5,2541.58,195.759,259.344,2.709,19.352,39.047,36.041,5.455
3,JY41-5,2542.77,213.005,257.608,2.684,19.249,19.837,18.126,5.372
3,JY41-5,2543.47,207.693,259.275,2.645,18.468,11.56,10.17,4.06
3,JY41-5,2544.46,190.745,255.548,2.675,19.836,31.991,29.942,4.635
3,JY41-5,2545.39,183.592,261.623,2.664,18.919,28.722,26.93,5.624
3,JY41-5,2546.08,188.056,257.383,2.64,18.556,15.966,15.191,5.001
3,JY41-5,2547.12,185.922,251.095,2.661,16.751,41.697,38.467,3.897
3,JY41-5,2548.08,191.494,258.258,2.672,16.066,38.908,37.162,4.923
3,JY41-5,2548.96,227.265,272.069,2.622,18.995,16.357,15.747,4.563
4,JY41-5,2550.15,209.697,258.875,2.594,15.68,62.139,60.999,3.292
3,JY41-5,2551.14,202.558,255.024,2.598,16.662,54.222,51.898,3.815
3,JY41-5,2552.19,238.167,263.646,2.653,18.859,23.686,21.617,4.29
3,JY41-5,2553.43,194.573,267.743,2.686,17.587,25.437,23.231,4.277
3,JY41-5,2554.16,199.152,275.312,2.656,19.748,19.45,18.061,4.166
3,JY41-5,2554.66,214.849,278.49,2.649,19.108,19.229,17.997,4.436
3,JY41-5,2556.09,207.325,276.358,2.65,20.386,32.952,30.452,4.35
4,JY41-5,2557.14,216.394,274.662,2.667,19.728,33.005,30.588,4.483
2,JY41-5,2558.19,193.492,259.639,2.696,19.958,31.811,30.005,4.506
5,JY41-5,2558.19,193.492,259.639,2.696,19.958,31.811,30.005,4.506
3,JY41-5,2559.17,216.993,269.823,2.652,22.391,21.055,19.86,4.414
3,JY41-5,2560.15,203.269,268.205,2.666,18.426,29.168,26.831,4.079
3,JY41-5,2561.11,201.476,263.584,2.67,20.262,24.772,22.627,4.664
3,JY41-5,2562.1,196.023,259.733,2.665,18.474,32.245,29.722,4.547
2,JY41-5,2563.13,200.661,233.046,2.654,15.375,42.344,40.421,3.545
2,JY41-5,2563.92,155.52,230.674,2.678,11.867,65.196,61.541,3.486
2,JY41-5,2564.92,160.393,236.269,2.674,14.663,58.538,55.428,4.014
3,JY41-5,2566.09,174.058,242.662,2.641,14.629,56.305,54.41,3.608
3,JY41-5,2566.69,171.844,242.635,2.633,14.091,56.758,55.217,3.158
2,JY41-5,2567.77,164.189,244.276,2.647,13.345,48.031,46.725,3.784
2,JY41-5,2568.77,181.484,244.744,2.625,14.378,17.789,16.957,3.934
2,JY41-5,2570.14,185.233,236.344,2.652,13.469,48.076,45.378,3.783
3,JY41-5,2571.34,167.477,233.485,2.684,13.613,45.676,42.095,4.207
3,JY41-5,2572.28,180.409,241.286,2.633,13.671,28.749,24.53,4.05
3,JY41-5,2573.09,175.719,238.031,2.635,14.546,49.027,45.041,3.486
2,JY41-5,2574.31,165.928,239.22,2.642,13.837,54.998,50.404,3.968
2,JY41-5,2575.85,174.519,235.679,2.648,13.892,60.821,56.72,4.123
4,JY41-5,2576.55,166.2,234.225,2.66,13.618,27.373,24.518,3.43
