Well Name,Depth,GR,DEN,AC,CNL,Facies
JY37-4HF,3019.704,195.513,2.739,231.162,20.167,2
JY37-4HF,3019.829,194.825,2.74,231.432,20.501,2
JY37-4HF,3019.954,194.306,2.739,231.902,20.669,2
JY37-4HF,3020.079,193.987,2.738,232.717,20.716,2
JY37-4HF,3020.204,192.348,2.737,233.9,20.813,2
JY37-4HF,3020.329,189.191,2.739,235.265,21.101,2
JY37-4HF,3020.454,187.041,2.744,236.484,21.495,2
JY37-4HF,3020.579,188.563,2.75,237.207,21.77,2
JY37-4HF,3020.704,192.46,2.755,237.299,21.816,2
JY37-4HF,3020.829,195.473,2.756,236.896,21.701,2
JY37-4HF,3020.954,196.399,2.753,236.639,21.56,2
JY37-4HF,3021.079,196.233,2.747,236.225,21.513,2
JY37-4HF,3021.204,196.043,2.743,236.141,21.519,2
JY37-4HF,3021.329,195.866,2.736,236.805,21.855,2
JY37-4HF,3021.454,195.018,2.728,237.719,22.358,2
JY37-4HF,3021.579,192.732,2.726,238.503,22.76,2
JY37-4HF,3021.704,189.785,2.723,238.872,23.076,2
JY37-4HF,3022.579,192.047,2.712,236.336,23.226,2
JY37-4HF,3022.704,191.409,2.699,236.121,23.433,2
JY37-4HF,3023.079,185.41,2.676,236.742,24.097,2
JY37-4HF,3023.204,184.657,2.682,237.479,24.07,2
JY37-4HF,3023.454,188.515,2.707,238.165,23.329,2
JY37-4HF,3023.579,190.289,2.712,237.467,22.677,2
JY37-4HF,3023.704,190.982,2.703,235.974,22.007,2
JY37-4HF,3023.829,191.585,2.685,234.042,21.498,2
JY37-4HF,3023.954,193.23,2.664,232.184,21.302,2
JY37-4HF,3024.079,195.928,2.648,230.913,21.403,2
JY37-4HF,3024.204,197.886,2.643,230.469,21.665,2
JY37-4HF,3024.329,196.927,2.649,230.803,21.908,2
JY37-4HF,3024.454,193.073,2.662,231.583,22.01,2
JY37-4HF,3024.579,189.26,2.675,232.351,21.929,2
JY37-4HF,3024.704,188.529,2.684,232.711,21.692,2
JY37-4HF,3024.829,191.09,2.689,232.482,21.364,2
JY37-4HF,3024.954,195.29,2.69,231.761,21.018,2
JY37-4HF,3025.079,199.413,2.692,230.841,20.714,2
JY37-4HF,3025.204,202.234,2.694,230.099,20.487,2
JY37-4HF,3025.329,203.222,2.699,229.803,20.335,2
JY37-4HF,3025.454,202.675,2.708,230.032,20.218,2
JY37-4HF,3025.579,201.551,2.72,230.589,20.098,2
JY37-4HF,3025.704,200.368,2.731,231.159,19.986,2
JY37-4HF,3025.829,199.53,2.741,231.44,19.941,2
JY37-4HF,3025.954,199.346,2.746,231.31,20.033,2
JY37-4HF,3026.079,199.779,2.748,230.826,20.258,2
JY37-4HF,3026.204,200.612,2.748,230.194,20.511,2
JY37-4HF,3026.329,201.638,2.747,229.626,20.65,2
JY37-4HF,3026.454,202.468,2.747,229.228,20.582,2
JY37-4HF,3026.579,202.558,2.748,228.952,20.328,2
JY37-4HF,3026.704,201.529,2.749,228.679,20.011,2
JY37-4HF,3026.829,200.036,2.749,228.289,19.801,2
JY37-4HF,3026.954,199.82,2.748,227.761,19.793,2
JY37-4HF,3027.079,201.563,2.746,227.196,19.96,2
JY37-4HF,3027.204,203.434,2.746,226.784,20.197,2
JY37-4HF,3027.329,203.396,2.746,226.703,20.443,2
JY37-4HF,3027.454,202.128,2.748,227.057,20.682,2
JY37-4HF,3027.579,201.933,2.749,227.819,20.889,2
JY37-4HF,3027.704,203.067,2.751,228.819,21.012,2
JY37-4HF,3027.829,203.632,2.753,229.821,20.992,2
JY37-4HF,3027.954,202.404,2.755,230.595,20.788,2
JY37-4HF,3028.079,200.456,2.758,231.025,20.406,2
JY37-4HF,3028.204,199.585,2.759,231.125,19.94,2
JY37-4HF,3028.329,200.415,2.759,231.054,19.528,2
JY37-4HF,3028.454,201.98,2.758,230.993,19.275,2
JY37-4HF,3028.579,203.001,2.756,231.081,19.201,2
JY37-4HF,3028.704,203.282,2.753,231.326,19.295,2
