GR,SP,AC,DEN,CNL,K,Core Lithology
223.615,11.414,249.641,2.541,12.258,2.527,1
222.99,11.687,249.744,2.536,11.883,2.56,1
221.092,11.605,249.982,2.531,11.708,2.622,1
219.996,11.121,250.392,2.527,11.939,2.69,1
221.529,10.313,250.866,2.525,12.453,2.751,1
223.06,9.306,251.188,2.525,12.793,2.802,1
222.867,8.23,251.252,2.527,12.782,2.848,1
222.311,7.232,250.928,2.53,12.505,2.897,1
223.558,6.403,250.081,2.533,12.019,2.943,1
225.315,5.703,248.817,2.534,11.282,2.983,1
223.844,5.03,247.372,2.532,10.561,3.027,1
218.404,4.515,246.042,2.529,10.166,3.079,1
210.648,4.58,245.005,2.527,10.109,3.102,1
203.647,5.517,244.484,2.532,10.085,3.082,1
199.438,7.336,244.347,2.543,10.029,3.061,1
198.176,9.815,244.24,2.554,10.111,3.06,1
196.701,12.34,243.788,2.56,10.346,3.055,1
191.555,14.045,242.998,2.562,10.576,3.03,1
182.301,14.277,242.007,2.567,10.54,2.995,1
175.114,13.106,241.217,2.573,10.253,2.955,1
175.398,11.144,241.019,2.573,9.939,2.905,1
182.158,9.141,241.498,2.562,9.948,2.849,1
188.019,7.756,242.216,2.546,10.328,2.832,1
188.628,7.357,242.855,2.533,10.687,2.884,1
186.42,7.871,243.425,2.524,10.457,2.957,1
186.032,8.835,244.106,2.518,9.761,3.007,1
189.804,9.779,245.062,2.515,9.181,3.022,1
196.526,10.451,246.47,2.518,9.155,2.981,1
205.167,10.819,248.024,2.527,9.634,2.9,1
215.214,10.927,249.208,2.535,10.445,2.838,1
224.492,10.872,249.54,2.534,11.313,2.824,1
231.086,10.78,249.169,2.528,11.924,2.844,1
234.378,10.64,248.364,2.522,11.924,2.903,1
237.061,10.213,247.489,2.522,11.482,2.982,1
241.374,9.157,246.78,2.52,10.978,3.024,1
245.499,7.293,246.366,2.512,10.75,3.006,1
247.499,4.724,246.207,2.501,10.774,2.961,1
