Well Name,Depth,Facies,GR,AC,DEN,K
JY11-4,2308.5,2,154.054,238.551,2.635,3.085
JY11-4,2308.625,2,156.777,244.683,2.626,3.296
JY11-4,2308.75,2,159.148,247.228,2.622,3.407
JY11-4,2308.875,2,161.285,248.519,2.62,3.533
JY11-4,2309,2,162.185,248.682,2.617,3.637
JY11-4,2309.125,2,162.264,248.418,2.612,3.708
JY11-4,2309.25,2,162.393,247.679,2.607,3.746
JY11-4,2309.375,2,162.331,240.733,2.615,3.657
JY11-4,2309.875,2,163.005,239.587,2.617,3.62
JY11-4,2310,2,162.535,239.412,2.617,3.615
JY11-4,2310.125,2,214.533,249.866,2.645,3.773
JY11-4,2310.75,2,223.144,246.406,2.649,3.738
JY11-4,2310.875,2,218.058,241.36,2.652,3.709
JY11-4,2311,2,170.755,241.451,2.625,3.446
JY11-4,2311.625,2,173.461,240.528,2.632,3.052
JY11-4,2311.75,2,175.602,239.085,2.63,3.043
JY11-4,2311.875,2,178.363,238.04,2.628,3.128
JY11-4,2312.375,2,179.257,236.032,2.629,3.288
JY11-4,2312.5,2,177.016,234.305,2.63,3.421
JY11-4,2312.625,2,172.866,234.067,2.627,3.465
JY11-4,2313.5,2,169.885,234.033,2.619,3.469
JY11-4,2313.625,2,163.122,245.269,2.62,2.742
JY11-4,2313.75,2,164.722,245.513,2.631,2.803
JY11-4,2314.625,2,165.655,245.628,2.641,2.935
JY11-4,2314.75,2,163.354,237.989,2.623,3.755
JY11-4,2314.875,2,163.965,238.676,2.624,3.735
JY11-4,2315,2,165.205,239.877,2.628,3.65
JY11-4,2315.125,2,156.273,237.38,2.644,3.33
JY11-4,2315.25,2,156.191,235.604,2.651,3.345
JY11-4,2315.375,2,155.07,232.663,2.659,3.369
JY11-4,2315.5,2,161.454,238.713,2.66,3.665
JY11-4,2315.625,2,164.328,241.12,2.655,3.759
JY11-4,2315.75,2,163.985,241.032,2.653,3.792
JY11-4,2315.875,2,160.193,238.127,2.627,3.562
JY11-4,2316.75,2,160.856,237.507,2.627,3.444
JY11-4,2316.875,2,162.622,236.828,2.63,3.313
JY11-4,2317,2,157.995,243.378,2.641,3.424
JY11-4,2317.75,2,160.327,243.024,2.633,3.453
JY11-4,2317.875,2,162.228,240.052,2.628,3.471
JY11-4,2318,2,169.966,260.624,2.613,3.599
JY11-4,2318.75,2,167.504,263.382,2.613,3.597
JY11-4,2318.875,2,166.597,266.186,2.615,3.642
JY11-4,2319,2,178.419,270.606,2.616,3.826
JY11-4,2319.625,2,180.344,270.149,2.608,3.751
JY11-4,2319.75,2,177.43,268.891,2.602,3.639
JY11-4,2319.875,2,172.414,271.85,2.605,3.278
JY11-4,2320.875,2,171.81,270.648,2.603,3.158
JY11-4,2321,2,169.281,269.024,2.602,3.055
JY11-4,2321.125,2,166.736,266.175,2.605,3.262
JY11-4,2322.375,2,167.894,266.695,2.602,3.365
JY11-4,2322.5,2,168.561,267.001,2.599,3.493
JY11-4,2322.625,2,169.127,267.728,2.618,3.696
JY11-4,2323.875,2,168.774,267.358,2.609,3.635
JY11-4,2324,2,166.464,266.161,2.598,3.559
JY11-4,2324.125,2,163.085,263.835,2.591,3.313
JY11-4,2324.625,2,163.573,263.887,2.593,3.126
JY11-4,2324.75,2,164.119,264.41,2.594,2.912
JY11-4,2324.875,2,164.015,264.835,2.592,2.716
JY11-4,2326.125,2,163.905,264.559,2.592,2.574
JY11-4,2326.25,2,164.123,263.51,2.596,2.486
JY11-4,2326.375,2,163.809,262.657,2.606,2.441
JY11-4,2327,2,163.1,262.497,2.614,2.462
JY11-4,2327.125,2,162.834,262.397,2.613,2.578
JY11-4,2327.25,2,165.279,262.636,2.593,2.872
JY11-4,2328.125,2,166.6,262.389,2.584,2.901
JY11-4,2328.25,2,167.408,261.522,2.577,2.876
JY11-4,2328.375,2,175.077,263.683,2.571,2.695
JY11-4,2328.625,2,176.341,264.705,2.57,2.679
JY11-4,2328.75,2,178.067,266.093,2.57,2.646
JY11-4,2328.875,2,179.01,270.227,2.57,2.805
JY11-4,2329,2,180.449,270.77,2.567,2.863
JY11-4,2329.125,2,180.047,269.798,2.566,2.905
JY11-4,2329.25,2,198.448,270.63,2.587,2.905
JY11-4,2329.375,2,206.855,268.563,2.594,2.901
JY11-4,2329.5,2,216.506,266.748,2.601,2.915
JY11-4,2329.625,2,181.873,255.288,2.586,2.528
JY11-4,2329.875,2,184.478,253.087,2.585,2.525
JY11-4,2330,2,194.863,254.481,2.585,2.617
JY11-4,2330.125,2,206.087,271.189,2.603,3.502
JY11-4,2330.875,2,205.397,271.861,2.601,3.416
JY11-4,2331,2,207.143,272.663,2.598,3.29
JY11-4,2331.125,2,196.362,260.902,2.607,3.577
JY11-4,2332.5,2,192.422,257.624,2.613,3.64
JY11-4,2332.625,2,188.826,253.416,2.617,3.648
JY11-4,2332.75,2,179.002,243.366,2.616,3.408
JY11-4,2333.375,2,177.646,242.935,2.619,3.318
JY11-4,2333.5,2,178.672,244.103,2.619,3.24
JY11-4,2333.625,2,179.444,240.697,2.617,2.824
JY11-4,2334.375,2,182.431,239.975,2.617,2.822
JY11-4,2334.5,2,182.045,239.408,2.617,2.832
JY11-4,2334.625,2,172.97,234.333,2.635,3.577
JY11-4,2335.375,2,173.468,233.847,2.627,3.57
JY11-4,2335.5,2,173.38,236.201,2.612,3.547
JY11-4,2335.625,2,166.064,241.368,2.588,2.7
JY11-4,2336.5,2,170.419,240.527,2.586,2.706
JY11-4,2336.625,2,172.534,239.605,2.583,2.764
JY11-4,2336.75,2,198.556,253.737,2.617,3.318
JY11-4,2337.125,2,197.41,253.592,2.614,3.133
JY11-4,2337.25,2,192.841,251.304,2.611,2.881
JY11-4,2337.375,2,187.372,242.073,2.595,2.318
JY11-4,2338.25,2,191.513,243.541,2.584,2.33
JY11-4,2338.375,2,195.9,245.708,2.573,2.394
JY11-4,2338.5,2,202.469,252.7,2.572,2.697
JY11-4,2339.625,2,200.515,251.951,2.569,2.698
JY11-4,2339.75,2,200.661,251.757,2.567,2.717
JY11-4,2339.875,2,203.276,256.572,2.572,2.795
JY11-4,2341.25,2,202.268,255.609,2.569,2.799
JY11-4,2341.375,2,198.601,254.336,2.567,2.788
JY11-4,2341.5,2,192.571,252.486,2.561,2.733
JY11-4,2342.125,2,196.875,253.184,2.558,2.728
JY11-4,2342.25,2,201.49,254.494,2.557,2.745
JY11-4,2342.375,2,204.439,255.558,2.56,2.779
JY11-4,2343.125,2,204.158,255.435,2.563,2.815
JY11-4,2343.25,2,199.854,253.041,2.566,2.844
JY11-4,2343.375,2,191.476,248.557,2.569,2.838
JY11-4,2344.25,2,182.745,245.123,2.572,2.776
JY11-4,2344.375,2,177.904,244.055,2.576,2.682
JY11-4,2344.5,2,180.647,244.524,2.577,2.572
JY11-4,2345.375,2,189.015,246.284,2.578,2.389
JY11-4,2345.5,2,200.906,249.611,2.585,2.259
JY11-4,2345.625,2,196.245,248.016,2.591,2.439
JY11-4,2346,2,191.263,247.132,2.597,2.584
JY11-4,2346.125,2,206.914,252.55,2.583,2.828
JY11-4,2346.25,2,207.291,251.464,2.577,2.876
JY11-4,2346.375,2,203.996,248.337,2.574,2.971
JY11-4,2346.5,2,203.621,256.037,2.543,2.879
JY11-4,2346.625,2,203.081,256.178,2.547,2.892
JY11-4,2346.75,2,201.408,256.412,2.547,2.9
JY11-4,2346.875,2,195.862,257.427,2.532,2.91
JY11-4,2347,2,193.378,257.677,2.533,2.904
JY11-4,2347.125,2,195.024,257.572,2.532,2.855
JY11-4,2347.25,2,172.133,249.371,2.538,1.987
JY11-4,2347.625,2,174.314,249.049,2.543,2.015
JY11-4,2347.75,2,175.692,247.99,2.544,2.045
JY11-4,2347.875,2,167.934,246.477,2.543,2.227
JY11-4,2348.5,2,171.757,245.444,2.531,2.2
JY11-4,2348.625,2,176.881,244.913,2.52,2.18
JY11-4,2348.75,2,197.305,245.833,2.505,2.066
JY11-4,2350.125,2,196.232,247.136,2.504,2.035
JY11-4,2350.25,2,196.303,249.751,2.507,1.993
JY11-4,2350.375,2,216.699,251.314,2.487,1.698
JY11-4,2351.125,2,218.656,252.587,2.491,1.693
JY11-4,2351.25,2,217.274,253.937,2.496,1.696
JY11-4,2351.375,2,337.253,264.497,2.477,1.71
JY11-4,2352.25,2,356.106,258.039,2.472,1.533
JY11-4,2352.375,2,343.032,246.535,2.488,1.458
JY11-4,2352.5,2,195.852,257.657,2.524,1.908
JY11-4,2353.25,2,190.887,255.75,2.511,1.963
JY11-4,2353.375,2,183.363,250.557,2.503,2.013
JY11-4,2353.5,2,180.706,244.078,2.519,1.234
JY11-4,2354.375,2,177.142,245.377,2.508,1.167
JY11-4,2354.5,2,181.327,246.697,2.499,1.204
JY11-4,2354.625,2,181.015,252.122,2.498,2.03
JY11-4,2355.625,2,174.749,249.314,2.498,2.142
JY11-4,2355.75,2,166.82,247.208,2.495,2.233
