Well Name,Depth,Facies,GR,AC,DEN
JY51-2,3058.875,4,198.933,93.494,251.752
JY51-2,3059,4,199.656,93.937,252.394
JY51-2,3059.75,4,196.919,95.239,250.387
JY51-2,3059.875,4,196.461,95.096,250.166
JY51-2,3060,4,197.179,94.976,249.718
JY51-2,3060.75,4,194.546,94.353,243.558
JY51-2,3060.875,4,194.005,94.265,243.729
JY51-2,3061,4,192.133,94.219,243.276
JY51-2,3061.75,4,190.989,94.297,244.255
JY51-2,3061.875,4,192.788,94.321,245.265
JY51-2,3062,4,193.159,94.302,245.833
JY51-2,3062.75,4,196.484,94.451,248.944
JY51-2,3062.875,4,197.961,94.478,250.999
JY51-2,3063,4,197.691,94.451,252.028
JY51-2,3063.75,4,204.037,94.499,252.987
JY51-2,3063.875,4,205.067,94.53,253.797
JY51-2,3064,4,206.055,94.537,254.836
JY51-2,3064.75,4,209.6,94.474,255.792
JY51-2,3064.875,4,209.411,94.422,255.453
JY51-2,3065,4,211.269,94.392,255.821
JY51-2,3065.75,4,228.722,94.749,258.981
JY51-2,3065.875,4,230.068,94.801,258.235
JY51-2,3066,4,226.645,94.803,257.17
JY51-2,3066.75,4,213.593,93.531,251.274
JY51-2,3066.875,4,216.469,93.407,251.967
JY51-2,3067,4,219.479,93.413,252.617
JY51-2,3067.75,4,222.793,94.041,248.274
JY51-2,3067.875,4,222.377,94.182,248.446
JY51-2,3068,4,220.049,94.443,248.762
JY51-2,3068.75,4,175.776,97.033,224.993
JY51-2,3068.875,4,163.135,97.229,221.863
JY51-2,3069,4,165.213,97.349,224.016
JY51-2,3069.625,4,217.704,98.292,258.5
JY51-2,3069.75,4,211.116,98.532,259.819
JY51-2,3069.875,4,209.662,98.742,261.527
JY51-2,3070.75,4,218.409,99.046,266.085
JY51-2,3070.875,4,215.081,99.143,266.848
JY51-2,3071,4,211.919,99.337,268.001
JY51-2,3071.75,4,210.497,101.04,269.579
JY51-2,3071.875,4,210.757,101.213,270.178
JY51-2,3072,4,210.919,101.341,270.681
JY51-2,3072.75,4,217.588,101.354,271.951
JY51-2,3072.875,4,219.99,101.315,273.069
JY51-2,3073,4,222.261,101.272,272.893
JY51-2,3073.75,4,216.372,100.076,264.722
JY51-2,3073.875,4,216.792,99.797,264.241
JY51-2,3074,4,216.262,99.578,263.74
JY51-2,3074.5,4,207.473,99.147,265.941
JY51-2,3074.625,4,207.258,98.987,265.13
JY51-2,3074.75,4,206.158,98.757,262.285
JY51-2,3075.75,4,222.267,95.182,264.399
JY51-2,3075.875,4,222.459,95.045,264.341
JY51-2,3076,4,223.23,94.948,264.183
JY51-2,3076.75,4,187.233,94.849,239.591
JY51-2,3076.875,4,183.019,94.883,240.37
JY51-2,3077,4,186.233,94.936,245.054
JY51-2,3077.75,4,222.666,94.686,263.552
JY51-2,3077.875,4,222.648,94.437,264.627
JY51-2,3078,4,219.95,94.265,265.859
JY51-2,3078.75,4,206.502,93.212,266.413
JY51-2,3078.875,4,207.183,93.034,266.307
JY51-2,3079,4,209.669,92.941,266.058
JY51-2,3079.75,4,200.463,91.875,261.617
JY51-2,3079.875,4,197.487,91.664,259.486
JY51-2,3080,4,197.418,91.514,258.809
JY51-2,3080.75,4,206.696,89.437,279.331
JY51-2,3080.875,4,210.274,89.177,275.028
JY51-2,3081,4,212.296,89.116,268.462
JY51-2,3081.75,4,204.642,89.681,264.619
JY51-2,3081.875,4,200.055,89.548,263.733
JY51-2,3082,4,193.909,89.398,259.144
JY51-2,3082.75,4,176.19,87.801,237.718
JY51-2,3082.875,4,175.625,87.568,238.136
JY51-2,3083,4,176.26,87.406,238.105
JY51-2,3083.75,4,173.385,85.406,237.481
JY51-2,3083.875,4,173.186,84.851,238.524
JY51-2,3084,4,174.259,84.322,239.576
JY51-2,3084.75,4,183.019,82.528,239.69
JY51-2,3084.875,4,184.422,82.42,240.398
JY51-2,3085,4,186.361,82.304,240.877
JY51-2,3085.625,5,171.218,81.6,233.919
JY51-2,3085.75,5,170.72,81.544,233.292
JY51-2,3085.875,5,175.23,81.565,233.541
JY51-2,3086.75,4,183.576,83.242,241.113
JY51-2,3086.875,4,182.357,83.777,242.114
JY51-2,3087,4,182.943,84.264,243.098
JY51-2,3087.75,4,183.292,84.131,242.928
JY51-2,3087.875,4,178.57,82.913,241.339
JY51-2,3088,4,176.388,82.061,240.493
JY51-2,3088.625,4,168.557,81.252,238.547
JY51-2,3088.75,4,166.05,81.988,237.538
JY51-2,3088.875,4,165.266,82.631,236.706
JY51-2,3089.75,4,183.617,83.744,245.566
JY51-2,3089.875,4,184.631,83.621,245.621
