Well Name,Depth,Facies,GR,AC,LLS,LLD
JY11-4,2339.625,2,200.515,251.951,64.857,69.131
JY11-4,2339.75,2,200.661,251.757,70.815,75.322
JY11-4,2339.875,2,203.276,256.572,29.508,31.547
JY11-4,2341.25,2,202.268,255.609,36.037,38.781
JY11-4,2341.375,2,198.601,254.336,44.653,47.934
JY11-4,2341.5,2,192.571,252.486,51.557,55.041
JY11-4,2342.125,2,196.875,253.184,50.209,53.468
JY11-4,2342.25,2,201.49,254.494,47.999,50.771
JY11-4,2342.375,2,204.439,255.558,43.716,45.95
JY11-4,2343.125,2,204.158,255.435,38.409,40.307
JY11-4,2343.25,2,199.854,253.041,34.831,36.805
JY11-4,2343.375,2,191.476,248.557,34.969,37.44
JY11-4,2344.25,2,182.745,245.123,39.639,42.904
JY11-4,2344.375,2,177.904,244.055,46.609,50.536
JY11-4,2344.5,2,180.647,244.524,51.56,55.708
JY11-4,2345.375,2,189.015,246.284,51.84,55.787
JY11-4,2345.5,2,200.906,249.611,41.945,45.122
JY11-4,2345.625,2,196.245,248.016,39.857,42.869
JY11-4,2346,2,191.263,247.132,38.237,41.048
JY11-4,2346.125,2,206.914,252.55,39.912,43.553
JY11-4,2346.25,2,207.291,251.464,47.449,51.857
JY11-4,2346.375,2,203.996,248.337,53.598,58.121
JY11-4,2346.5,2,203.621,256.037,24.716,26.686
JY11-4,2346.625,2,203.081,256.178,30.018,32.96
JY11-4,2346.75,2,201.408,256.412,39.541,43.559
JY11-4,2346.875,2,195.862,257.427,40.22,43.864
JY11-4,2347,2,193.378,257.677,38.913,42.416
JY11-4,2347.125,2,195.024,257.572,38.264,41.652
JY11-4,2347.25,2,172.133,249.371,50.098,53.696
JY11-4,2347.625,2,174.314,249.049,42.804,45.794
JY11-4,2347.75,2,175.692,247.99,39.105,42.145
JY11-4,2347.875,2,167.934,246.477,60.53,65.546
JY11-4,2348.5,2,171.757,245.444,60.197,64.608
JY11-4,2348.625,2,176.881,244.913,53.886,56.911
JY11-4,2348.75,2,197.305,245.833,13.949,15.203
JY11-4,2350.125,2,196.232,247.136,16.173,17.564
JY11-4,2350.25,2,196.303,249.751,18.933,20.668
JY11-4,2350.375,2,216.699,251.314,88.46,96.385
JY11-4,2351.125,2,218.656,252.587,80.486,87.231
