Well Name,Depth,Facies,GR,AC,DEN,CNL,LLS,LLD,K
JY41-5,2591.75,1,221.792,263.805,2.61,17.291,31.016,28.985,4.17
JY41-5,2592.125,1,219.453,262.434,2.611,17.278,26.812,24.885,4.216
JY41-5,2592.25,1,206.544,253.336,2.638,14.84,23.082,22.022,3.823
JY41-5,2592.375,1,198.637,250.072,2.648,14.104,27.765,26.627,3.602
JY41-5,2594,2,193.395,243.562,2.629,13.177,18.517,17.282,3.557
JY41-5,2594.125,2,204.756,239.814,2.612,11.95,57.41,55.1,3.112
JY41-5,2594.25,2,205.576,240.681,2.614,11.914,59.195,56.968,2.975
JY41-5,2594.875,2,202.104,241.135,2.622,12.022,63.205,60.799,2.932
JY41-5,2595,2,199.093,237.712,2.612,12.037,41.81,39.565,3.077
JY41-5,2620.5,1,134.219,251.71,2.532,14.315,24.288,21.225,3.124
JY41-5,2620.625,1,158.97,269.262,2.527,15.911,26.057,24.883,3.728
JY41-5,2620.75,1,168.608,273.406,2.535,16.95,35.107,33.092,4.109
JY56-z1,2864.75,1,186.334,239.097,2.729,19.99,37.771,40.147,4.103
JY56-z1,2865,1,183.139,237.273,2.724,18.82,38.364,40.527,4.004
JY56-z1,2865.375,1,180.382,236.383,2.714,17.588,39.994,41.903,3.639
JY56-z1,2865.5,1,178.409,237.074,2.71,17.545,40.82,42.634,3.451
JY56-z1,2865.625,1,178.192,238.154,2.703,17.407,41.743,43.441,3.251
JY56-z1,2868,1,198.527,264.848,2.688,19.396,30.062,31.167,4.412
JY56-z1,2868.25,1,202.489,264.334,2.702,18.806,27.772,29.357,4.58
JY56-z1,2868.375,1,200.754,263.861,2.708,19.299,27.537,29.381,4.574
JY56-z1,2868.625,1,198.02,262.39,2.706,19.351,29.079,31.277,4.362
JY56-z1,2868.75,1,199.364,261.685,2.701,18.796,29.802,32.065,4.22
JY56-z1,2869,1,203.933,261.522,2.695,18.61,27.495,29.752,4.004
JY56-z1,2869.25,1,200.315,263.08,2.689,19.113,24.408,26.775,3.789
JY56-z1,2869.375,1,199.042,263.997,2.688,19.239,24.848,27.378,3.685
JY56-z1,2869.5,1,200.104,264.448,2.689,19.268,26.862,29.631,3.616
JY56-z1,2869.75,1,203.809,263.232,2.699,19.294,33.652,37.154,3.628
JY56-z1,2869.875,1,202.465,261.771,2.701,19.179,36.891,40.824,3.699
JY56-z1,2870,1,198.784,259.954,2.698,18.719,39.25,43.555,3.791
JY56-z1,2870.25,1,193.824,256.697,2.691,17.834,42.147,46.842,4.013
JY56-z1,2870.375,1,194.304,256.262,2.695,17.845,43.342,48.033,4.099
JY56-z1,2870.625,1,195.741,259.285,2.695,17.786,43.948,48.303,4.089
