Well Name,Depth,GR,AC,DEN,CNL,LLS
JY2,2481.125,162.6,83.865,2.694,22.074,20.61
JY2,2481.25,161.922,84.013,2.691,22.386,20.114
JY2,2481.375,161.45,83.822,2.692,22.265,19.736
JY2,2481.5,160.778,83.523,2.691,21.602,19.332
JY2,2481.625,160.956,83.443,2.683,20.865,18.893
JY2,2481.75,162.608,83.343,2.676,20.587,18.58
JY2,2481.875,164.162,82.774,2.678,20.858,18.565
JY2,2482,163.193,81.463,2.688,21.414,18.86
JY2,2482.125,160.44,79.939,2.699,21.786,19.214
JY2,2482.25,158.597,79.108,2.706,21.588,19.342
JY2,2482.375,160.278,79.243,2.708,20.975,19.081
JY2,2482.5,165.082,80.109,2.705,20.506,18.508
JY2,2482.625,171.054,81.655,2.701,20.536,17.735
JY2,2482.75,175.681,83.327,2.697,20.873,16.611
JY2,2482.875,177.758,84.585,2.694,21.242,14.689
JY2,2483,178.515,85.286,2.692,21.593,11.857
JY2,2483.125,180.809,85.553,2.692,21.899,8.871
JY2,2483.25,184.061,85.481,2.695,22.01,6.844
JY2,2483.375,184.515,84.785,2.703,21.908,6.341
JY2,2483.5,180.196,83.514,2.712,21.805,7.33
JY2,2483.625,173.324,82.52,2.721,21.838,9.415
JY2,2483.75,168.972,82.143,2.726,21.892,11.888
JY2,2483.875,169.225,82.124,2.721,21.781,13.642
JY2,2484,173.045,82.797,2.708,21.525,14.404
JY2,2484.125,176.978,83.837,2.695,21.364,14.777
JY2,2484.25,178.303,84.353,2.688,21.464,15.425
JY2,2484.375,176.093,84.251,2.686,21.752,16.165
JY2,2484.5,172.307,83.974,2.685,22.151,16.57
JY2,2484.625,168.882,83.431,2.679,22.673,16.663
JY2,2484.75,166.801,82.668,2.67,23.037,16.585
JY2,2484.875,165.549,82.212,2.665,22.937,15.969
JY2,2485,165.032,82.386,2.664,22.542,14.038
JY2,2485.125,165.661,83.01,2.669,22.359,10.675
JY2,2485.25,167.524,83.743,2.674,22.618,7.085
JY2,2485.375,169.957,84.468,2.678,23.248,4.647
JY2,2485.5,171.904,84.984,2.68,23.939,4.031
JY2,2485.625,172.688,84.98,2.683,24.243,5.074
JY2,2485.75,172.086,84.458,2.687,23.869,7.524
JY2,2485.875,170.411,83.776,2.692,23.097,10.679
JY2,2486,168.35,83.092,2.697,22.361,13.172
JY2,2486.125,166.672,82.522,2.702,21.892,14.337
JY2,2486.25,165.645,82.048,2.706,21.756,14.577
JY2,2486.375,165.036,81.374,2.712,21.905,14.869
JY2,2486.5,164.509,80.324,2.72,22.009,15.495
JY2,2486.625,163.609,79.252,2.728,21.743,16.153
