Well Name,Depth,Facies,GR,AC,DEN,LLS
JY51-2,3069.625,4,217.704,98.292,258.5,20.11
JY51-2,3069.75,4,211.116,98.532,259.819,19.675
JY51-2,3069.875,4,209.662,98.742,261.527,19.527
JY51-2,3070.75,4,218.409,99.046,266.085,21.047
JY51-2,3070.875,4,215.081,99.143,266.848,20.799
JY51-2,3071,4,211.919,99.337,268.001,20.817
JY51-2,3071.75,4,210.497,101.04,269.579,21.749
JY51-2,3071.875,4,210.757,101.213,270.178,21.713
JY51-2,3072,4,210.919,101.341,270.681,21.777
JY51-2,3072.75,4,217.588,101.354,271.951,21.511
JY51-2,3072.875,4,219.99,101.315,273.069,21.849
JY51-2,3073,4,222.261,101.272,272.893,22.454
JY51-2,3073.75,4,216.372,100.076,264.722,21.182
JY51-2,3073.875,4,216.792,99.797,264.241,21.02
JY51-2,3074,4,216.262,99.578,263.74,21.062
JY51-2,3074.5,4,207.473,99.147,265.941,21.349
JY51-2,3074.625,4,207.258,98.987,265.13,21.476
JY51-2,3074.75,4,206.158,98.757,262.285,21.326
JY51-2,3075.75,4,222.267,95.182,264.399,22.005
JY51-2,3075.875,4,222.459,95.045,264.341,21.038
JY51-2,3076,4,223.23,94.948,264.183,20.398
JY51-2,3076.75,4,187.233,94.849,239.591,16.351
JY51-2,3076.875,4,183.019,94.883,240.37,15.949
JY51-2,3077,4,186.233,94.936,245.054,16.777
JY51-2,3077.75,4,222.666,94.686,263.552,22.875
JY51-2,3077.875,4,222.648,94.437,264.627,22.477
JY51-2,3078,4,219.95,94.265,265.859,22.128
JY51-2,3078.75,4,206.502,93.212,266.413,20.793
JY51-2,3078.875,4,207.183,93.034,266.307,20.767
JY51-2,3079,4,209.669,92.941,266.058,20.793
JY51-2,3079.75,4,200.463,91.875,261.617,19.061
JY51-2,3079.875,4,197.487,91.664,259.486,18.976
JY51-2,3080,4,197.418,91.514,258.809,19.121
JY51-2,3080.75,4,206.696,89.437,279.331,21.014
JY51-2,3080.875,4,210.274,89.177,275.028,20.066
JY51-2,3081,4,212.296,89.116,268.462,19.864
JY51-2,3081.75,4,204.642,89.681,264.619,20.2
JY51-2,3081.875,4,200.055,89.548,263.733,19.533
JY51-2,3082,4,193.909,89.398,259.144,18.333
JY51-2,3082.75,4,176.19,87.801,237.718,16.262
JY51-2,3082.875,4,175.625,87.568,238.136,16.515
JY51-2,3083,4,176.26,87.406,238.105,16.495
JY51-2,3083.75,4,173.385,85.406,237.481,15.129
JY51-2,3083.875,4,173.186,84.851,238.524,15.297
JY51-2,3084,4,174.259,84.322,239.576,15.846
JY51-2,3084.75,4,183.019,82.528,239.69,16.657
JY51-2,3084.875,4,184.422,82.42,240.398,16.853
JY51-2,3085,4,186.361,82.304,240.877,16.721
JY51-2,3085.625,5,171.218,81.6,233.919,14.75
JY51-2,3085.75,5,170.72,81.544,233.292,14.929
JY51-2,3085.875,5,175.23,81.565,233.541,15.058
JY51-2,3086.75,4,183.576,83.242,241.113,15.662
JY51-2,3086.875,4,182.357,83.777,242.114,15.794
JY51-2,3087,4,182.943,84.264,243.098,15.805
JY51-2,3087.75,4,183.292,84.131,242.928,15.076
JY51-2,3087.875,4,178.57,82.913,241.339,15.153
JY51-2,3088,4,176.388,82.061,240.493,15.418
JY51-2,3088.625,4,168.557,81.252,238.547,14.481
JY51-2,3088.75,4,166.05,81.988,237.538,14.11
JY51-2,3088.875,4,165.266,82.631,236.706,14.017
JY51-2,3089.75,4,183.617,83.744,245.566,16.216
JY51-2,3089.875,4,184.631,83.621,245.621,16.268
