Well Name,Depth,Facies,GR,AC,DEN,LLS,LLD
JY11-4,2303.125,4,156.869,244.405,2.638,46.237,47.99
JY11-4,2303.875,4,156.614,245.279,2.633,47.388,49.224
JY11-4,2304,4,155.87,245.825,2.627,49.008,50.904
JY11-4,2304.125,4,155.477,245.856,2.622,50.303,52.226
JY11-4,2304.75,3,156.749,245.55,2.619,51.034,52.986
JY11-4,2304.875,3,159.43,245.025,2.619,51.394,53.416
JY11-4,2305,3,161.593,243.657,2.623,52.022,54.177
JY11-4,2305.875,4,160.766,241.068,2.628,53.463,55.837
JY11-4,2306,4,156.531,237.795,2.636,56.054,58.699
JY11-4,2306.125,4,151.433,235.002,2.645,59.161,62.031
JY11-4,2307,4,149.198,233.557,2.652,61.903,64.865
JY11-4,2307.125,4,151.132,234.067,2.652,63.061,65.917
JY11-4,2307.25,4,156.826,236.277,2.647,62.36,65.01
JY11-4,2307.375,5,162.899,239.164,2.64,60.222,62.694
JY11-4,2307.5,5,166.481,241.32,2.636,57.941,60.335
JY11-4,2307.625,5,167.077,242.35,2.634,56.342,58.708
JY11-4,2307.75,5,166.698,242.633,2.634,55.546,57.868
JY11-4,2307.875,5,158.243,241.83,2.632,54.87,57.642
JY11-4,2308,5,154.257,241.027,2.632,54.864,57.668
JY11-4,2308.125,5,152.184,239.881,2.636,55.005,57.779
JY11-4,2308.25,5,149.925,234.669,2.634,56.107,58.73
JY11-4,2308.375,5,152.562,236.069,2.635,54.838,57.383
JY11-4,2308.5,5,154.054,238.551,2.635,53.11,55.676
JY11-4,2308.625,5,156.777,244.683,2.626,50.575,53.509
JY11-4,2308.75,5,159.148,247.228,2.622,50.566,53.669
JY11-4,2308.875,5,161.285,248.519,2.62,51.099,54.285
JY11-4,2309,5,162.185,248.682,2.617,51.535,54.776
JY11-4,2309.125,5,162.264,248.418,2.612,51.674,54.98
JY11-4,2309.25,3,162.393,247.679,2.607,50.937,54.186
JY11-4,2309.375,5,162.331,240.733,2.615,32.954,35.262
JY11-4,2309.875,4,163.005,239.587,2.617,32.547,35.088
JY11-4,2310,4,162.535,239.412,2.617,35.528,38.373
JY11-4,2310.125,4,214.533,249.866,2.645,11.049,11.674
JY11-4,2310.75,4,223.144,246.406,2.649,12.189,13.222
JY11-4,2310.875,4,218.058,241.36,2.652,15.916,17.444
JY11-4,2311,4,170.755,241.451,2.625,44.366,46.099
JY11-4,2311.25,2,170.341,241.65,2.623,39.362,40.455
JY11-4,2311.375,2,170.824,242.07,2.626,31.292,31.885
JY11-4,2311.5,2,172.096,241.975,2.631,23.521,24.045
JY11-4,2311.625,4,173.461,240.528,2.632,18.869,19.601
JY11-4,2311.75,4,175.602,239.085,2.63,18.104,19.136
JY11-4,2311.875,4,178.363,238.04,2.628,20.81,22.109
JY11-4,2312.375,3,179.257,236.032,2.629,25.767,27.234
JY11-4,2312.5,3,177.016,234.305,2.63,31.621,33.077
JY11-4,2312.625,3,172.866,234.067,2.627,36.777,38.059
JY11-4,2313.5,3,169.885,234.033,2.619,40.952,41.982
JY11-4,2313.625,3,163.122,245.269,2.62,28.942,27.965
JY11-4,2313.75,3,164.722,245.513,2.631,19.414,18.653
JY11-4,2314.625,5,165.655,245.628,2.641,13.425,13.052
JY11-4,2314.75,5,163.354,237.989,2.623,6.824,7.307
JY11-4,2314.875,5,163.965,238.676,2.624,11.353,12.251
JY11-4,2315,5,165.205,239.877,2.628,21.747,22.933
JY11-4,2315.125,5,156.273,237.38,2.644,57.838,58.922
JY11-4,2315.25,5,156.191,235.604,2.651,59.21,60.454
JY11-4,2315.375,5,155.07,232.663,2.659,61.137,62.467
JY11-4,2315.5,5,161.454,238.713,2.66,48.49,48.582
JY11-4,2315.625,5,164.328,241.12,2.655,41.379,41.546
JY11-4,2315.75,5,163.985,241.032,2.653,36.285,36.735
JY11-4,2315.875,5,160.193,238.127,2.627,19.094,19.435
JY11-4,2316.75,3,160.856,237.507,2.627,19.799,20.645
JY11-4,2316.875,3,162.622,236.828,2.63,26.301,27.639
JY11-4,2317,3,157.995,243.378,2.641,55.158,57.104
JY11-4,2317.75,3,160.327,243.024,2.633,52.893,54.944
JY11-4,2317.875,3,162.228,240.052,2.628,50.316,52.512
JY11-4,2318,3,169.966,260.624,2.613,40.383,41.802
JY11-4,2318.75,3,167.504,263.382,2.613,41.565,42.776
JY11-4,2318.875,3,166.597,266.186,2.615,39.629,40.422
JY11-4,2319,3,178.419,270.606,2.616,22.04,22.604
JY11-4,2319.625,3,180.344,270.149,2.608,22.133,22.83
JY11-4,2319.75,3,177.43,268.891,2.602,23.445,24.236
JY11-4,2319.875,3,172.414,271.85,2.605,36.761,38.39
JY11-4,2320.875,4,171.81,270.648,2.603,43.757,45.362
JY11-4,2321,4,169.281,269.024,2.602,47.789,49.296
JY11-4,2321.125,4,166.736,266.175,2.605,47.026,48.132
JY11-4,2322.375,3,167.894,266.695,2.602,42.872,43.814
JY11-4,2322.5,3,168.561,267.001,2.599,38.809,39.749
JY11-4,2322.625,3,169.127,267.728,2.618,48.329,50.381
JY11-4,2323.875,3,168.774,267.358,2.609,49.987,52.186
JY11-4,2324,3,166.464,266.161,2.598,52.285,54.659
JY11-4,2324.125,3,163.085,263.835,2.591,54.832,57.323
JY11-4,2324.625,4,163.573,263.887,2.593,53.457,55.863
JY11-4,2324.75,4,164.119,264.41,2.594,51.013,53.338
JY11-4,2324.875,4,164.015,264.835,2.592,48.949,51.345
JY11-4,2326.125,4,163.905,264.559,2.592,48.332,51.018
JY11-4,2326.25,4,164.123,263.51,2.596,49.996,53.146
JY11-4,2326.375,4,163.809,262.657,2.606,53.072,56.707
JY11-4,2327,3,163.1,262.497,2.614,56.227,60.3
JY11-4,2327.125,3,162.834,262.397,2.613,58.156,62.6
JY11-4,2327.25,3,165.279,262.636,2.593,58.955,63.852
JY11-4,2328.125,3,166.6,262.389,2.584,59.078,64.111
JY11-4,2328.25,3,167.408,261.522,2.577,59.758,64.965
JY11-4,2328.375,3,175.077,263.683,2.571,57.561,63.174
JY11-4,2328.625,6,176.341,264.705,2.57,56.099,61.563
JY11-4,2328.75,6,178.067,266.093,2.57,55.114,60.426
JY11-4,2328.875,6,179.01,270.227,2.57,57.272,62.123
JY11-4,2329,6,180.449,270.77,2.567,58.48,63.393
JY11-4,2329.125,6,180.047,269.798,2.566,59.336,64.012
JY11-4,2329.25,6,198.448,270.63,2.587,20.327,21.352
JY11-4,2329.375,6,206.855,268.563,2.594,17.846,18.939
JY11-4,2329.5,6,216.506,266.748,2.601,17.768,19.004
JY11-4,2329.625,6,181.873,255.288,2.586,35.717,37.162
JY11-4,2329.875,3,184.478,253.087,2.585,31.779,32.445
JY11-4,2330,3,194.863,254.481,2.585,23.734,23.755
JY11-4,2330.125,3,206.087,271.189,2.603,22.412,23.866
JY11-4,2330.875,3,205.397,271.861,2.601,29.401,30.753
JY11-4,2331,3,207.143,272.663,2.598,32.207,33.276
JY11-4,2331.125,3,196.362,260.902,2.607,28.929,29.71
JY11-4,2332.5,3,192.422,257.624,2.613,27.793,28.719
JY11-4,2332.625,3,188.826,253.416,2.617,28.461,29.684
JY11-4,2332.75,3,179.002,243.366,2.616,41.667,43.349
JY11-4,2333.375,3,177.646,242.935,2.619,43.69,45.15
JY11-4,2333.5,3,178.672,244.103,2.619,42.881,44.086
JY11-4,2333.625,3,179.444,240.697,2.617,49.075,51.63
JY11-4,2334.375,3,182.431,239.975,2.617,50.94,53.735
JY11-4,2334.5,3,182.045,239.408,2.617,51.198,54.219
JY11-4,2334.625,3,172.97,234.333,2.635,68.253,73.854
JY11-4,2335.375,4,173.468,233.847,2.627,68.931,74.543
JY11-4,2335.5,4,173.38,236.201,2.612,65.47,70.568
JY11-4,2335.625,4,166.064,241.368,2.588,46.385,49.247
JY11-4,2336.5,3,170.419,240.527,2.586,41.008,43.707
JY11-4,2336.625,3,172.534,239.605,2.583,38.809,41.292
JY11-4,2336.75,3,198.556,253.737,2.617,20.998,22.306
JY11-4,2337.125,3,197.41,253.592,2.614,23.697,25.396
JY11-4,2337.25,3,192.841,251.304,2.611,28.091,30.067
JY11-4,2337.375,3,187.372,242.073,2.595,57.087,61.953
JY11-4,2338.25,5,191.513,243.541,2.584,68.476,73.993
JY11-4,2338.375,5,195.9,245.708,2.573,74.987,80.62
JY11-4,2338.5,5,202.469,252.7,2.572,60.377,64.338
JY11-4,2339.625,3,200.515,251.951,2.569,64.857,69.131
JY11-4,2339.75,3,200.661,251.757,2.567,70.815,75.322
JY11-4,2339.875,3,203.276,256.572,2.572,29.508,31.547
JY11-4,2341.25,3,202.268,255.609,2.569,36.037,38.781
JY11-4,2341.375,3,198.601,254.336,2.567,44.653,47.934
JY11-4,2341.5,3,192.571,252.486,2.561,51.557,55.041
JY11-4,2342.125,3,196.875,253.184,2.558,50.209,53.468
JY11-4,2342.25,3,201.49,254.494,2.557,47.999,50.771
JY11-4,2342.375,3,204.439,255.558,2.56,43.716,45.95
JY11-4,2343.125,3,204.158,255.435,2.563,38.409,40.307
JY11-4,2343.25,3,199.854,253.041,2.566,34.831,36.805
JY11-4,2343.375,3,191.476,248.557,2.569,34.969,37.44
JY11-4,2344.25,3,182.745,245.123,2.572,39.639,42.904
JY11-4,2344.375,3,177.904,244.055,2.576,46.609,50.536
JY11-4,2344.5,3,180.647,244.524,2.577,51.56,55.708
JY11-4,2345.375,3,189.015,246.284,2.578,51.84,55.787
JY11-4,2345.5,3,200.906,249.611,2.585,41.945,45.122
JY11-4,2345.625,3,196.245,248.016,2.591,39.857,42.869
JY11-4,2346,6,191.263,247.132,2.597,38.237,41.048
JY11-4,2346.125,6,206.914,252.55,2.583,39.912,43.553
JY11-4,2346.25,6,207.291,251.464,2.577,47.449,51.857
