Well Name,Depth,GR,AC,DEN
JY59-2HF,2808,99.475,222.181,2.558
JY59-2HF,2808.125,100.037,222.557,2.553
JY59-2HF,2808.25,100.978,223.047,2.55
JY59-2HF,2808.375,102.024,223.518,2.547
JY59-2HF,2808.5,102.942,223.972,2.542
JY59-2HF,2808.625,103.452,224.571,2.537
JY59-2HF,2808.75,103.226,225.174,2.527
JY59-2HF,2808.875,101.885,224.837,2.515
JY59-2HF,2809,99.912,223.842,2.506
JY59-2HF,2809.125,97.793,222.623,2.503
JY59-2HF,2809.25,95.845,221.846,2.509
JY59-2HF,2809.375,94.376,222.612,2.524
JY59-2HF,2809.5,93.706,224.617,2.544
JY59-2HF,2809.625,94.224,225.602,2.562
JY59-2HF,2809.75,95.525,225.421,2.574
JY59-2HF,2809.875,97.449,224.345,2.581
JY59-2HF,2810,99.689,222.745,2.585
JY59-2HF,2810.125,101.855,221.189,2.586
JY59-2HF,2810.25,103.533,220.785,2.581
JY59-2HF,2810.375,104.582,220.988,2.57
JY59-2HF,2810.5,104.986,221.482,2.553
JY59-2HF,2810.625,104.849,222.07,2.533
JY59-2HF,2810.75,104.45,222.667,2.517
JY59-2HF,2810.875,104.206,223.641,2.509
JY59-2HF,2811,104.462,224.695,2.514
JY59-2HF,2811.125,104.95,224.788,2.523
JY59-2HF,2811.25,105.439,223.738,2.53
JY59-2HF,2811.375,105.679,222.402,2.533
JY59-2HF,2811.5,105.519,221.93,2.529
JY59-2HF,2811.625,105.017,221.891,2.518
JY59-2HF,2811.75,104.329,221.799,2.505
JY59-2HF,2811.875,103.832,221.275,2.493
JY59-2HF,2812,103.705,220.022,2.485
JY59-2HF,2812.125,104.016,217.895,2.482
JY59-2HF,2812.25,104.679,215.543,2.482
JY59-2HF,2812.375,105.34,213.889,2.486
JY59-2HF,2812.5,105.776,213.324,2.492
JY59-2HF,2812.625,105.845,213.871,2.501
JY59-2HF,2812.75,105.53,215.154,2.514
JY59-2HF,2812.875,104.845,216.306,2.531
JY59-2HF,2813,103.827,216.945,2.545
JY59-2HF,2813.125,102.785,217.357,2.551
JY59-2HF,2813.25,102.057,217.758,2.55
JY59-2HF,2813.375,101.799,218.299,2.545
JY59-2HF,2813.5,102.023,219.006,2.54
JY59-2HF,2813.625,102.642,219.656,2.542
JY59-2HF,2813.75,103.514,219.632,2.55
JY59-2HF,2813.875,104.008,218.986,2.56
JY59-2HF,2814,103.877,218.021,2.569
JY59-2HF,2814.125,103.074,217.18,2.574
JY59-2HF,2814.25,101.764,216.905,2.574
JY59-2HF,2814.375,100.33,217.259,2.57
JY59-2HF,2814.5,99.229,217.824,2.562
JY59-2HF,2814.625,98.801,218.386,2.551
JY59-2HF,2814.75,98.85,218.814,2.538
JY59-2HF,2814.875,99.26,219.018,2.527
JY59-2HF,2815,99.947,218.766,2.523
JY59-2HF,2815.125,100.796,218.596,2.529
JY59-2HF,2815.25,101.672,218.714,2.539
JY59-2HF,2815.375,102.39,219.027,2.551
JY59-2HF,2815.5,103.123,219.335,2.559
JY59-2HF,2815.625,103.906,219.555,2.562
JY59-2HF,2815.75,104.539,219.527,2.56
JY59-2HF,2815.875,104.67,219.18,2.559
JY59-2HF,2816,104.227,218.726,2.562
JY59-2HF,2816.125,103.346,218.412,2.568
JY59-2HF,2816.25,102.222,218.36,2.576
JY59-2HF,2816.375,101.138,218.179,2.582
JY59-2HF,2816.5,100.51,217.803,2.578
JY59-2HF,2816.625,100.631,217.399,2.565
JY59-2HF,2816.75,101.386,217.093,2.548
JY59-2HF,2816.875,102.689,216.951,2.535
JY59-2HF,2817,104.312,216.959,2.53
JY59-2HF,2817.125,105.9,217.221,2.539
JY59-2HF,2817.25,107.035,217.406,2.553
JY59-2HF,2817.375,107.418,217.436,2.564
JY59-2HF,2817.5,107.073,217.386,2.566
JY59-2HF,2817.625,106.001,217.392,2.559
JY59-2HF,2817.75,104.326,217.297,2.544
JY59-2HF,2817.875,102.409,216.754,2.531
JY59-2HF,2818,100.874,216.001,2.526
JY59-2HF,2818.125,100.073,215.094,2.529
JY59-2HF,2818.25,100.126,214.095,2.536
JY59-2HF,2818.375,101.082,213.265,2.544
JY59-2HF,2818.5,102.878,213.402,2.549
JY59-2HF,2818.625,105.174,214.153,2.552
JY59-2HF,2818.75,107.29,215.013,2.552
JY59-2HF,2818.875,108.776,215.741,2.55
JY59-2HF,2819,109.39,216.311,2.546
JY59-2HF,2819.125,109.071,216.684,2.538
JY59-2HF,2819.25,107.94,216.894,2.531
JY59-2HF,2819.375,106.117,216.535,2.525
JY59-2HF,2819.5,103.886,215.644,2.521
JY59-2HF,2819.625,101.57,214.53,2.518
JY59-2HF,2819.75,99.536,213.929,2.515
JY59-2HF,2819.875,98.091,215.969,2.514
JY59-2HF,2820,97.33,220.361,2.518
JY59-2HF,2820.125,97.246,224.862,2.539
JY59-2HF,2820.25,97.776,228.301,2.573
JY59-2HF,2820.375,98.936,229.786,2.61
JY59-2HF,2820.5,100.665,226.891,2.633
JY59-2HF,2820.625,102.784,219.154,2.625
JY59-2HF,2820.75,104.901,213.904,2.594
JY59-2HF,2820.875,106.477,213.363,2.562
JY59-2HF,2821,107.611,216.774,2.543
JY59-2HF,2821.125,108.404,220.696,2.543
JY59-2HF,2821.25,108.949,221.95,2.553
JY59-2HF,2821.375,109.297,222.41,2.557
JY59-2HF,2821.5,109.594,223.144,2.555
JY59-2HF,2821.625,110.15,224.08,2.552
JY59-2HF,2821.75,110.875,225.302,2.55
JY59-2HF,2821.875,111.568,228.158,2.552
JY59-2HF,2822,111.936,228.689,2.556
JY59-2HF,2822.125,111.505,224.542,2.559
JY59-2HF,2822.25,110.564,219.235,2.56
JY59-2HF,2822.375,109.44,215.49,2.559
JY59-2HF,2822.5,108.35,213.82,2.557
JY59-2HF,2822.625,107.417,212.1,2.555
JY59-2HF,2822.75,106.66,210.618,2.549
JY59-2HF,2822.875,106.236,210.031,2.538
JY59-2HF,2823,106.015,210.645,2.524
JY59-2HF,2823.125,105.873,212.425,2.509
JY59-2HF,2823.25,105.667,214.81,2.496
JY59-2HF,2823.375,105.266,216.224,2.49
JY59-2HF,2823.5,104.619,216.304,2.492
JY59-2HF,2823.625,103.821,215.505,2.499
JY59-2HF,2823.75,103.093,214.335,2.511
JY59-2HF,2823.875,102.531,213.246,2.525
JY59-2HF,2824,102.183,212.636,2.538
JY59-2HF,2824.125,102.069,212.983,2.544
JY59-2HF,2824.25,102.043,214.082,2.542
