Well Name,Depth,Facies,GR,AC,DEN,CNL,Facies,Facies
JY11-4,2309,2,162.185,248.682,2.617,14.226,2,2
JY11-4,2309.125,2,162.264,248.418,2.612,14.038,2,2
JY11-4,2309.25,2,162.393,247.679,2.607,14.056,2,2
JY11-4,2309.375,2,162.331,240.733,2.615,13.957,2,2
JY11-4,2309.875,2,163.005,239.587,2.617,13.874,2,2
JY11-4,2310,2,162.535,239.412,2.617,13.828,2,2
JY11-4,2310.125,2,214.533,249.866,2.645,16.975,2,2
JY11-4,2310.75,2,223.144,246.406,2.649,16.799,2,2
JY11-4,2310.875,2,218.058,241.36,2.652,15.681,2,2
JY11-4,2311,2,170.755,241.451,2.625,14.683,2,2
JY11-4,2311.625,2,173.461,240.528,2.632,15.227,2,2
JY11-4,2311.75,2,175.602,239.085,2.63,15.17,2,2
JY11-4,2311.875,2,178.363,238.04,2.628,14.698,2,2
JY11-4,2312.375,2,179.257,236.032,2.629,14.196,2,2
JY11-4,2312.5,2,177.016,234.305,2.63,13.983,2,2
JY11-4,2312.625,2,172.866,234.067,2.627,14.063,2,2
JY11-4,2313.5,2,169.885,234.033,2.619,14.239,2,2
JY11-4,2313.625,2,163.122,245.269,2.62,16.123,2,2
JY11-4,2313.75,2,164.722,245.513,2.631,15.756,2,2
JY11-4,2314.625,2,165.655,245.628,2.641,15.227,2,2
JY11-4,2314.75,2,163.354,237.989,2.623,14.939,2,2
JY11-4,2314.875,2,163.965,238.676,2.624,14.712,2,2
JY11-4,2315,2,165.205,239.877,2.628,14.54,2,2
JY11-4,2315.125,2,156.273,237.38,2.644,14.409,2,2
JY11-4,2315.25,2,156.191,235.604,2.651,14.142,2,2
JY11-4,2315.375,2,155.07,232.663,2.659,13.629,2,2
JY11-4,2315.5,2,161.454,238.713,2.66,14.409,2,2
JY11-4,2315.625,2,164.328,241.12,2.655,14.766,2,2
JY11-4,2315.75,2,163.985,241.032,2.653,14.65,2,2
JY11-4,2315.875,2,160.193,238.127,2.627,14.017,2,2
JY11-4,2316.75,2,160.856,237.507,2.627,13.713,2,2
JY11-4,2316.875,2,162.622,236.828,2.63,13.499,2,2
JY11-4,2317,2,157.995,243.378,2.641,13.744,2,2
JY11-4,2317.75,2,160.327,243.024,2.633,13.831,2,2
JY11-4,2317.875,2,162.228,240.052,2.628,13.865,2,2
JY11-4,2318,2,169.966,260.624,2.613,15.14,2,2
JY11-4,2318.75,2,167.504,263.382,2.613,14.763,2,2
JY11-4,2318.875,2,166.597,266.186,2.615,14.536,2,2
JY11-4,2319,2,178.419,270.606,2.616,15.748,2,2
JY11-4,2319.625,2,180.344,270.149,2.608,15.96,2,2
JY11-4,2319.75,2,177.43,268.891,2.602,15.859,2,2
JY11-4,2319.875,2,172.414,271.85,2.605,16.072,2,2
JY11-4,2320.875,2,171.81,270.648,2.603,16.687,2,2
JY11-4,2321,2,169.281,269.024,2.602,16.896,2,2
JY11-4,2321.125,2,166.736,266.175,2.605,15.428,2,2
JY11-4,2322.375,2,167.894,266.695,2.602,15.444,2,2
JY11-4,2322.5,2,168.561,267.001,2.599,15.605,2,2
JY11-4,2322.625,2,169.127,267.728,2.618,15.026,2,2
JY11-4,2323.875,2,168.774,267.358,2.609,14.724,2,2
JY11-4,2324,2,166.464,266.161,2.598,14.697,2,2
JY11-4,2324.125,2,163.085,263.835,2.591,15.265,2,2
JY11-4,2324.625,2,163.573,263.887,2.593,15.223,2,2
JY11-4,2324.75,2,164.119,264.41,2.594,14.959,2,2
JY11-4,2324.875,2,164.015,264.835,2.592,14.72,2,2
JY11-4,2326.125,2,163.905,264.559,2.592,14.634,2,2
JY11-4,2326.25,2,164.123,263.51,2.596,14.721,2,2
JY11-4,2326.375,2,163.809,262.657,2.606,14.941,2,2
JY11-4,2327,2,163.1,262.497,2.614,15.213,2,2
JY11-4,2327.125,2,162.834,262.397,2.613,15.412,2,2
JY11-4,2327.25,2,165.279,262.636,2.593,15.197,2,2
JY11-4,2328.125,2,166.6,262.389,2.584,14.898,2,2
JY11-4,2328.25,2,167.408,261.522,2.577,14.722,2,2
JY11-4,2328.375,2,175.077,263.683,2.571,14.491,2,2
JY11-4,2328.625,2,176.341,264.705,2.57,14.269,2,2
JY11-4,2328.75,2,178.067,266.093,2.57,14.421,2,2
JY11-4,2328.875,2,179.01,270.227,2.57,14.849,2,2
JY11-4,2329,2,180.449,270.77,2.567,14.671,2,2
JY11-4,2329.125,2,180.047,269.798,2.566,14.55,2,2
JY11-4,2329.25,2,198.448,270.63,2.587,16.378,2,2
JY11-4,2329.375,2,206.855,268.563,2.594,15.977,2,2
JY11-4,2329.5,2,216.506,266.748,2.601,14.845,2,2
JY11-4,2329.625,2,181.873,255.288,2.586,13.153,2,2
JY11-4,2329.875,2,184.478,253.087,2.585,12.73,2,2
JY11-4,2330,2,194.863,254.481,2.585,12.851,2,2
JY11-4,2330.125,2,206.087,271.189,2.603,16.521,2,2
JY11-4,2330.875,2,205.397,271.861,2.601,16.539,2,2
JY11-4,2331,2,207.143,272.663,2.598,16.576,2,2
JY11-4,2331.125,2,196.362,260.902,2.607,16.333,2,2
JY11-4,2332.5,2,192.422,257.624,2.613,16.053,2,2
JY11-4,2332.625,2,188.826,253.416,2.617,15.58,2,2
JY11-4,2332.75,2,179.002,243.366,2.616,13.79,2,2
JY11-4,2333.375,2,177.646,242.935,2.619,13.552,2,2
JY11-4,2333.5,2,178.672,244.103,2.619,13.493,2,2
JY11-4,2333.625,2,179.444,240.697,2.617,12.662,2,2
JY11-4,2334.375,2,182.431,239.975,2.617,12.839,2,2
JY11-4,2334.5,2,182.045,239.408,2.617,12.946,2,2
JY11-4,2334.625,2,172.97,234.333,2.635,12.029,2,2
JY11-4,2335.375,2,173.468,233.847,2.627,12.038,2,2
JY11-4,2335.5,2,173.38,236.201,2.612,12.033,2,2
JY11-4,2335.625,2,166.064,241.368,2.588,11.888,2,2
JY11-4,2336.5,2,170.419,240.527,2.586,11.811,2,2
JY11-4,2336.625,2,172.534,239.605,2.583,11.853,2,2
JY11-4,2336.75,2,198.556,253.737,2.617,14.963,2,2
JY11-4,2337.125,2,197.41,253.592,2.614,14.562,2,2
JY11-4,2337.25,2,192.841,251.304,2.611,13.773,2,2
JY11-4,2337.375,2,187.372,242.073,2.595,11.966,2,2
JY11-4,2338.25,2,191.513,243.541,2.584,12.422,2,2
JY11-4,2338.375,2,195.9,245.708,2.573,12.856,2,2
JY11-4,2338.5,2,202.469,252.7,2.572,12.13,2,2
JY11-4,2339.625,2,200.515,251.951,2.569,12.163,2,2
JY11-4,2339.75,2,200.661,251.757,2.567,12.303,2,2
JY11-4,2339.875,2,203.276,256.572,2.572,12.264,2,2
JY11-4,2341.25,2,202.268,255.609,2.569,12.144,2,2
JY11-4,2341.375,2,198.601,254.336,2.567,12.315,2,2
JY11-4,2341.5,2,192.571,252.486,2.561,13.719,2,2
JY11-4,2342.125,2,196.875,253.184,2.558,13.806,2,2
JY11-4,2342.25,2,201.49,254.494,2.557,13.43,2,2
JY11-4,2342.375,2,204.439,255.558,2.56,12.901,2,2
JY11-4,2343.125,2,204.158,255.435,2.563,12.552,2,2
JY11-4,2343.25,2,199.854,253.041,2.566,12.339,2,2
JY11-4,2343.375,2,191.476,248.557,2.569,11.965,2,2
JY11-4,2344.25,2,182.745,245.123,2.572,11.355,2,2
JY11-4,2344.375,2,177.904,244.055,2.576,10.909,2,2
JY11-4,2344.5,2,180.647,244.524,2.577,10.898,2,2
JY11-4,2345.375,2,189.015,246.284,2.578,11.27,2,2
JY11-4,2345.5,2,200.906,249.611,2.585,11.586,2,2
JY11-4,2345.625,2,196.245,248.016,2.591,11.429,2,2
JY11-4,2346,2,191.263,247.132,2.597,11.581,2,2
JY11-4,2346.125,2,206.914,252.55,2.583,11.818,2,2
JY11-4,2346.25,2,207.291,251.464,2.577,11.545,2,2
JY11-4,2346.375,2,203.996,248.337,2.574,11.574,2,2
JY11-4,2346.5,2,203.621,256.037,2.543,13.148,2,2
JY11-4,2346.625,2,203.081,256.178,2.547,13.112,2,2
JY11-4,2346.75,2,201.408,256.412,2.547,12.837,2,2
JY11-4,2346.875,2,195.862,257.427,2.532,12.815,2,2
JY11-4,2347,2,193.378,257.677,2.533,12.6,2,2
JY11-4,2347.125,2,195.024,257.572,2.532,12.2,2,2
JY11-4,2347.25,2,172.133,249.371,2.538,10.923,2,2
JY11-4,2347.625,2,174.314,249.049,2.543,11.057,2,2
JY11-4,2347.75,2,175.692,247.99,2.544,10.924,2,2
JY11-4,2347.875,2,167.934,246.477,2.543,11.862,2,2
JY11-4,2348.5,2,171.757,245.444,2.531,11.41,2,2
JY11-4,2348.625,2,176.881,244.913,2.52,10.734,2,2
JY11-4,2348.75,2,197.305,245.833,2.505,9.876,2,2
JY11-4,2350.125,2,196.232,247.136,2.504,9.892,2,2
JY11-4,2350.25,2,196.303,249.751,2.507,10.266,2,2
JY11-4,2350.375,2,216.699,251.314,2.487,11.035,2,2
JY11-4,2351.125,2,218.656,252.587,2.491,11.216,2,2
JY11-4,2351.25,2,217.274,253.937,2.496,11.293,2,2
JY11-4,2351.375,2,337.253,264.497,2.477,13.669,2,2
JY11-4,2352.25,2,356.106,258.039,2.472,13.389,2,2
JY11-4,2352.375,2,343.032,246.535,2.488,12.503,2,2
JY11-4,2352.5,2,195.852,257.657,2.524,12.77,2,2
JY11-4,2353.25,2,190.887,255.75,2.511,12.363,2,2
JY11-4,2353.375,2,183.363,250.557,2.503,11.274,2,2
JY11-4,2353.5,2,180.706,244.078,2.519,10.201,2,2
JY11-4,2354.375,2,177.142,245.377,2.508,9.425,2,2
JY11-4,2354.5,2,181.327,246.697,2.499,9.398,2,2
JY11-4,2354.625,2,181.015,252.122,2.498,11.434,2,2
JY11-4,2355.625,2,174.749,249.314,2.498,10.891,2,2
JY11-4,2355.75,2,166.82,247.208,2.495,10.204,2,2
JY11-4,2355.875,2,120.891,258.705,2.56,15.3,2,2
JY11-4,2356.75,2,123.442,260.115,2.56,15.311,2,2
JY11-4,2356.875,2,130.404,263.127,2.555,15.373,2,2
JY11-4,2357,2,177.772,282.766,2.543,17.732,2,2
JY41-5,2494.5,2,165.888,238.551,2.742,18.609,2,2
JY41-5,2494.625,2,164.232,238.706,2.745,18.517,2,2
JY41-5,2496.625,2,164.439,238.303,2.723,17.359,2,2
JY41-5,2496.75,2,165.382,240.761,2.731,19.685,2,2
JY41-5,2496.875,2,165.65,242.55,2.738,21.029,2,2
JY41-5,2502.25,1,170.613,233.924,2.718,17.547,1,1
JY41-5,2502.375,1,166.583,232.456,2.712,17.151,1,1
JY41-5,2502.5,1,160.729,231.785,2.707,16.575,1,1
JY41-5,2502.625,1,158.16,232.531,2.704,15.951,1,1
JY41-5,2503.375,1,171.199,242.725,2.726,21.066,1,1
JY41-5,2503.5,1,174.744,243.383,2.734,20.106,1,1
JY41-5,2503.625,1,176.548,244.149,2.736,19.882,1,1
JY41-5,2508,1,89.398,198.598,2.66,3.901,1,1
JY41-5,2508.125,1,90.29,198.407,2.665,4.075,1,1
JY41-5,2508.25,1,90.675,198.382,2.666,4.431,1,1
JY41-5,2508.375,1,90.239,198.727,2.664,4.871,1,1
JY41-5,2508.5,1,90.293,199.637,2.662,5.296,1,1
JY41-5,2508.625,1,92.36,200.983,2.661,5.784,1,1
JY41-5,2508.75,1,95.2,202.542,2.661,6.464,1,1
JY41-5,2508.875,1,95.399,203.84,2.658,7.242,1,1
JY41-5,2509,1,92.413,204.339,2.655,7.767,1,1
JY41-5,2509.125,1,88.891,203.738,2.649,7.494,1,1
JY41-5,2509.25,1,86.698,202.094,2.643,6.54,1,1
JY41-5,2509.375,1,85.319,199.835,2.638,5.277,1,1
JY41-5,2509.5,1,84.053,197.367,2.633,4.203,1,1
JY41-5,2509.625,1,83.363,195.333,2.626,3.509,1,1
JY41-5,2509.75,1,84.698,194.182,2.616,3.117,1,1
JY41-5,2509.875,1,88.621,194.229,2.606,2.863,1,1
JY41-5,2510,1,94.56,195.297,2.599,2.785,1,1
JY41-5,2510.125,1,101.495,197.098,2.594,3.095,1,1
JY41-5,2510.25,1,107.449,199.423,2.587,3.795,1,1
JY41-5,2510.375,1,111.332,201.981,2.576,4.631,1,1
JY41-5,2510.5,1,111.996,204.724,2.568,5.275,1,1
JY41-5,2510.625,1,108.866,207.803,2.569,5.626,1,1
JY41-5,2510.75,1,102.677,211.188,2.577,5.651,1,1
JY41-5,2510.875,1,95.448,214.656,2.583,5.201,1,1
JY41-5,2511,1,89.072,217.661,2.579,4.397,1,1
JY41-5,2511.125,1,84.427,219.639,2.567,3.52,1,1
JY41-5,2511.25,1,83.135,219.946,2.553,2.932,1,1
JY41-5,2511.375,1,86.135,218.708,2.542,2.767,1,1
JY41-5,2511.5,1,93.129,217.077,2.538,3.023,1,1
JY41-5,2511.625,1,102.801,216.58,2.545,3.46,1,1
JY41-5,2511.75,1,116.386,218.187,2.563,4.001,1,1
JY41-5,2511.875,1,136.575,222.339,2.591,5.132,1,1
JY41-5,2512,1,160.315,229.064,2.624,7.851,1,1
JY41-5,2512.125,1,180.526,236.33,2.66,13.402,1,1
JY41-5,2512.25,1,188.658,242.226,2.693,32.861,1,1
JY41-5,2512.375,1,187.331,245.357,2.719,32.008,1,1
JY41-5,2512.5,1,182.253,246.017,2.737,28.112,1,1
