Well Name,Depth,GR,AC,DEN,CNL,LLS,K,Facies
JY37-3,3411.5,192.088,234.721,2.645,21.716,16.611,3.99,3
JY37-3,3411.625,192.84,229.859,2.643,21.695,17.356,3.945,3
JY37-3,3411.75,193.8,224.228,2.649,21.609,18.007,3.92,3
JY37-3,3414.5,198.321,222.448,2.651,20.176,19.259,4.103,3
JY37-3,3414.625,200.511,226.098,2.645,21.357,19.079,4.067,3
JY37-3,3414.75,202.336,228.723,2.645,22.161,17.061,4.023,3
JY37-3,3414.875,203.342,230.467,2.65,22.601,14.796,3.971,3
JY37-3,3415.375,199.564,232.608,2.634,22.303,17.521,3.946,3
JY37-3,3415.5,198.042,231.964,2.635,22.167,17.463,4.072,3
JY37-3,3415.625,196.896,231.038,2.645,21.61,17.047,4.206,3
JY37-3,3416.125,194.7,228.365,2.653,20.208,19.889,4.01,3
JY37-3,3416.25,194.962,229.315,2.651,20.094,20.724,3.909,3
JY37-3,3416.375,195.429,230.773,2.656,20.028,21.46,3.817,3
JY37-3,3416.5,195.947,232.344,2.661,20.037,22.095,3.759,3
JY37-3,3416.625,196.519,233.421,2.664,20.13,22.5,3.755,3
JY37-3,3417.875,196.732,228.832,2.65,23.935,21.793,4.024,3
JY37-3,3418,197.331,228.658,2.643,23.846,22.694,3.983,3
JY37-3,3418.125,198.095,228.411,2.638,23.164,22.941,3.924,3
JY37-3,3418.25,198.736,228.234,2.638,22.358,22.538,3.86,3
JY37-3,3418.375,198.698,228.245,2.638,21.84,21.987,3.794,3
JY37-3,3419.75,183.873,214.703,2.652,19.459,22.679,3.485,3
JY37-3,3419.875,185.156,212.473,2.661,19.503,22.786,3.559,3
JY37-3,3420.125,188.189,217.768,2.661,20.105,22.542,3.777,3
JY37-3,3420.25,189.801,223.259,2.652,20.509,22.409,3.86,3
JY37-3,3420.375,191.099,228.034,2.639,20.876,22.178,3.901,3
JY37-3,3420.5,191.844,230.848,2.626,21.13,21.771,3.889,3
JY37-3,3420.625,192.014,231.664,2.617,21.288,21.292,3.845,3
JY37-3,3421.25,195.852,230.682,2.645,22.177,19.532,3.432,3
