GR,SP,AC,DEN,CNL,K,—“–‘£®œ‡£©
170.418,180.621,266.79,2.597,15.656,3.712,
170.796,181.041,266.618,2.603,15.452,3.748,
170.181,181.097,266.584,2.612,15.295,3.759,
169.123,180.853,266.882,2.62,15.292,3.757,
168.786,180.471,267.41,2.623,15.268,3.737,
169.127,180.095,267.728,2.618,15.026,3.696,
168.774,179.828,267.358,2.609,14.724,3.635,
166.464,179.67,266.161,2.598,14.697,3.559,
163.955,179.573,264.693,2.592,14.993,3.457,
163.085,179.465,263.835,2.591,15.265,3.313,
163.573,179.327,263.887,2.593,15.223,3.126,
164.119,179.199,264.41,2.594,14.959,2.912,
164.015,179.151,264.835,2.592,14.72,2.716,
163.905,179.247,264.559,2.592,14.634,2.574,
164.123,179.492,263.51,2.596,14.721,2.486,
163.809,179.776,262.657,2.606,14.941,2.441,
163.1,179.95,262.497,2.614,15.213,2.462,
162.834,179.867,262.397,2.613,15.412,2.578,
163.695,179.507,262.364,2.604,15.412,2.749,
165.279,178.913,262.636,2.593,15.197,2.872,
166.6,178.27,262.389,2.584,14.898,2.901,
167.408,177.748,261.522,2.577,14.722,2.876,
168.087,177.521,261.313,2.573,14.786,2.836,
168.7,177.581,262.026,2.57,14.99,2.794,
169.48,177.852,262.673,2.571,15.137,2.754,
170.952,178.175,262.856,2.572,15.089,2.721,
173.175,178.388,263.057,2.572,14.838,2.704,
175.077,178.396,263.683,2.571,14.491,2.695,
176.341,178.198,264.705,2.57,14.269,2.679,
178.067,177.902,266.093,2.57,14.421,2.646,
180.989,177.634,267.63,2.57,14.94,2.592,
183.994,177.501,268.679,2.572,15.402,2.538,
183.751,177.521,268.916,2.576,15.461,2.511,
180.189,177.663,268.814,2.582,15.238,2.509,
176.165,177.818,268.669,2.585,15.143,2.525,
175.452,177.901,268.389,2.587,15.305,2.568,
177.955,177.833,268.336,2.586,15.537,2.63,
179.977,177.619,268.842,2.583,15.608,2.677,
179.349,177.281,269.245,2.579,15.449,2.707,
178.103,176.882,269.442,2.575,15.148,2.747,
179.01,176.508,270.227,2.57,14.849,2.805,
180.449,176.242,270.77,2.567,14.671,2.863,
180.047,176.149,269.798,2.566,14.55,2.905,
178.366,176.235,268.93,2.564,14.425,2.933,
178.713,176.479,269.87,2.564,14.466,2.957,
183.242,176.786,271.248,2.569,14.964,2.96,
190.618,177.068,271.587,2.577,15.831,2.933,
